,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
87,2013-11,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2079,2013-11-16 02:37:24,null,2052.0
88,2013-11,presto,https://github.com/facebook/presto,1874,2012-08-09 01:03:37,Java,1841.0
89,2013-11,ionic,https://github.com/driftyco/ionic,1662,2013-08-20 23:06:02,JavaScript,1656.0
90,2013-10,free-programming-books,https://github.com/vhf/free-programming-books,10722,2013-10-11 06:50:37,null,10628.0
91,2013-10,Ghost,https://github.com/TryGhost/Ghost,5723,2013-05-04 11:09:13,JavaScript,5761.0
92,2013-10,lime,https://github.com/quarnster/lime,4502,2012-10-03 18:10:02,Go,4590.0
93,2013-10,offline,https://github.com/HubSpot/offline,3368,2013-10-21 20:14:57,CSS,3344.0
94,2013-10,odometer,https://github.com/HubSpot/odometer,2997,2013-10-08 21:32:22,CSS,2820.0
95,2013-10,PredictionIO,https://github.com/PredictionIO/PredictionIO,2683,2013-01-25 19:42:32,Scala,2952.0
96,2013-10,FullScreenMario,https://github.com/Diogenesthecynic/FullScreenMario,2628,2013-01-25 06:02:52,JavaScript,2646.0
97,2013-10,oboe.js,https://github.com/jimhigson/oboe.js,2410,2013-03-11 19:04:05,JavaScript,2589.0
98,2013-10,Snap.svg,https://github.com/adobe-webplatform/Snap.svg,2390,2013-08-15 20:51:34,JavaScript,2412.0
99,2013-10,FastImageCache,https://github.com/path/FastImageCache,2382,2013-08-21 22:44:53,Objective-C,2366.0
100,2013-09,Semantic-UI,https://github.com/jlukic/Semantic-UI,3299,2013-04-08 23:32:04,JavaScript,3505.0
101,2013-09,favicon-cheat-sheet,https://github.com/audreyr/favicon-cheat-sheet,3006,2013-08-05 12:54:19,null,4176.0
102,2013-09,pace,https://github.com/HubSpot/pace,2292,,,
103,2013-09,rainyday.js,https://github.com/maroslaw/rainyday.js,2238,2013-08-01 20:37:07,JavaScript,2552.0
104,2013-09,vex,https://github.com/HubSpot/vex,2066,2013-09-05 23:09:57,CoffeeScript,2226.0
105,2013-09,Octodog_Invasion,https://github.com/mandatoryprogrammer/Octodog_Invasion,1837,2013-09-28 04:03:41,null,4935.0
106,2013-09,cocktails_for_programmers,https://github.com/the-teacher/cocktails_for_programmers,1712,2013-09-10 13:17:38,null,1846.0
107,2013-09,favico.js,https://github.com/ejci/favico.js,1603,,,
