,month,repository_name,repository_url,new_stars
272,2012-04,Prince-of-Persia-Apple-II,https://github.com/jmechner/Prince-of-Persia-Apple-II,5994
273,2012-04,jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,4089
274,2012-04,django,https://github.com/django/django,3681
275,2012-04,dotfiles,https://github.com/mathiasbynens/dotfiles,2937
276,2012-04,mosh,https://github.com/keithw/mosh,2805
277,2012-04,mruby,https://github.com/mruby/mruby,2805
278,2012-04,foresight.js,https://github.com/adamdbradley/foresight.js,2649
279,2012-04,mojito,https://github.com/yahoo/mojito,2595
280,2012-03,bootstrap,https://github.com/twitter/bootstrap,6291
281,2012-03,BrowserQuest,https://github.com/mozilla/BrowserQuest,4608
282,2012-03,mailcheck,https://github.com/Kicksend/mailcheck,3888
283,2012-03,php-src,https://github.com/php/php-src,3855
284,2012-03,tesseract,https://github.com/square/tesseract,2622
285,2012-03,bootstrap-wysihtml5,https://github.com/jhollingworth/bootstrap-wysihtml5,2436
286,2012-03,jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,2280
287,2012-03,hammer.js,https://github.com/EightMedia/hammer.js,2259
288,2012-03,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2235
289,2012-03,legit,https://github.com/kennethreitz/legit,2211
